batchsize,matsize,channels_in,poolsize,padding,strides,time_max,time_min,time_median,time_mean,time_trim_mean
24,371,18,7,1,1,179.78692054748538,155.01451492309567,170.12870311737058,168.82255077362058,169.17800903320312
48,320,30,4,0,3,25.32672882080078,24.19924736022949,24.732112884521484,24.73704814910889,24.730563163757324
39,109,36,5,1,3,2.5634765625,2.43520736694336,2.5014877319335938,2.4974584579467773,2.496987581253052
34,29,144,6,0,1,1.9655227661132808,1.5249252319335938,1.8954277038574217,1.8611669540405276,1.8901526927948
40,62,36,3,1,2,0.9696483612060548,0.8158683776855469,0.9421110153198242,0.9365320205688475,0.9474754333496094
10,327,8,4,1,1,17.290592193603516,9.977340698242188,14.643192291259766,14.333891868591307,14.508873224258425
44,100,83,6,1,1,34.38425064086914,31.759262084960934,33.35356712341309,33.21046829223633,33.24514627456665
1,86,93,6,1,4,0.467061996459961,0.3960132598876953,0.4038810729980469,0.4215002059936523,0.4189908504486084
3,53,128,2,0,3,0.21195411682128906,0.1347064971923828,0.1957416534423828,0.18129348754882807,0.18328428268432614
32,215,26,4,0,2,12.311220169067385,9.100675582885742,9.446382522583008,9.667825698852539,9.408295154571533
3,221,18,4,0,2,2.3601055145263667,2.037525177001953,2.0958185195922847,2.1669626235961914,2.1589994430541988
32,378,14,5,1,2,31.952619552612305,27.679920196533203,27.906060218811035,28.604865074157715,28.302013874053955
3,411,19,1,1,3,3.15093994140625,1.839637756347656,2.459049224853516,2.5215625762939453,2.5281310081481934
10,111,7,7,1,2,1.9588470458984373,1.8513202667236328,1.9228458404541016,1.9070148468017576,1.9074976444244385
39,369,6,1,0,2,7.66301155090332,5.722999572753906,5.9043169021606445,6.21488094329834,6.095349788665772
26,341,25,4,1,2,21.498918533325195,21.100521087646484,21.297574043273926,21.30265235900879,21.303385496139526
42,251,23,7,1,1,132.31897354125977,115.96059799194336,131.54733180999756,126.06141567230223,126.54182314872742
50,135,24,2,0,3,2.808094024658203,2.4580955505371094,2.532362937927246,2.5757789611816406,2.5614500045776367
15,370,19,6,0,3,10.164737701416016,9.23442840576172,9.362459182739258,9.48169231414795,9.427219629287722
23,300,22,6,1,4,8.282184600830076,8.011817932128906,8.159518241882324,8.151912689208983,8.153140544891357
34,130,12,4,1,3,1.4595985412597656,1.3294219970703125,1.4460086822509766,1.4348745346069336,1.4449656009674072
18,181,9,7,1,4,1.9359588623046875,1.697063446044922,1.7862319946289062,1.783132553100586,1.7747879028320312
57,258,22,4,1,4,11.240720748901367,10.460615158081056,10.818839073181152,10.835504531860352,10.831713676452637
26,34,1,2,0,4,0.3371238708496094,0.3197193145751953,0.3224611282348633,0.3243207931518555,0.32329559326171875
48,45,142,4,0,4,1.7113685607910156,1.614093780517578,1.6574859619140625,1.6649723052978516,1.6655325889587402
21,269,25,1,1,2,7.7528953552246085,7.182121276855469,7.3227882385253915,7.337069511413574,7.304459810256957
34,334,6,3,1,1,32.28473663330078,29.35981750488281,29.54280376434326,29.87320423126221,29.63593602180481
18,179,29,3,1,3,2.557516098022461,2.4178028106689453,2.4874210357666016,2.488255500793457,2.4884045124053955
56,133,70,2,1,3,8.409023284912111,7.591962814331055,8.014082908630371,8.004355430603027,8.005321025848389
3,81,6,3,0,3,0.6182193756103516,0.3783702850341797,0.3937482833862305,0.416874885559082,0.3965198993682861
18,478,19,3,1,1,52.72960662841797,51.66172981262207,52.33275890350342,52.2481918334961,52.26132273674011
35,219,14,2,0,1,14.937162399291992,14.751911163330078,14.837980270385742,14.844918251037598,14.845013618469238
44,49,124,7,0,1,11.371612548828125,10.384082794189453,10.592222213745117,10.652351379394533,10.595977306365967
62,438,21,3,1,2,60.94050407409668,60.38093566894531,60.54043769836426,60.56046485900879,60.535401105880744
17,234,35,6,0,1,38.340091705322266,36.75079345703125,37.10687160491944,37.26034164428711,37.189066410064704
13,82,30,3,0,1,1.7781257629394531,1.422405242919922,1.4613866806030271,1.5475034713745115,1.5343129634857178
64,456,15,7,0,4,44.33417320251465,43.9000129699707,44.0676212310791,44.10068988800049,44.09658908843994
19,70,140,1,1,2,2.1126270294189453,1.7576217651367188,1.9372701644897459,1.9251823425292969,1.922696828842163
55,406,4,6,0,3,23.946762084960934,23.679018020629886,23.81932735443115,23.80571365356445,23.803919553756714
35,256,14,5,0,2,12.297391891479492,11.745929718017578,11.833548545837402,11.916327476501465,11.889994144439695
20,32,62,5,1,3,0.25272369384765625,0.1957416534423828,0.23174285888671875,0.2271890640258789,0.2279281616210937
19,452,20,5,1,4,10.531187057495117,10.00356674194336,10.257720947265623,10.298943519592283,10.306835174560547
