batchsize,dim_input,dim_output,activation_fct,time_max,time_min,time_median,time_mean,time_trim_mean
38,675,2870,1,1.415729522705078,1.2364387512207031,1.3276338577270508,1.3320446014404297,1.3335347175598145
33,1142,934,1,0.7040500640869141,0.5390644073486328,0.6527900695800781,0.6519556045532227,0.659555196762085
13,3245,2144,1,1.7333030700683594,1.5163421630859375,1.6057491302490234,1.6033411026000977,1.597970724105835
8,3037,3795,1,2.7780532836914062,2.5322437286376958,2.675771713256836,2.664303779602051,2.666592597961426
5,4061,3646,0,3.5197734832763667,3.0870437622070312,3.277778625488281,3.289484977722168,3.286004066467285
32,2495,2073,1,2.9647350311279297,2.56037712097168,2.7424097061157227,2.748942375183105,2.7455389499664307
56,18,1014,1,0.21028518676757807,0.1380443572998047,0.14638900756835938,0.1590251922607422,0.15524029731750488
46,921,2011,1,1.5015602111816406,1.247882843017578,1.396894454956055,1.3950824737548828,1.4001727104187012
54,745,1143,1,0.7350444793701172,0.6048679351806641,0.662684440612793,0.659942626953125,0.6574392318725586
33,1307,4,1,0.21338462829589844,0.11897087097167967,0.15234947204589844,0.15637874603271484,0.1539289951324463
19,2600,3192,1,2.119302749633789,1.9974708557128904,2.041220664978028,2.043390274047852,2.0396411418914795
10,1190,3508,0,1.245260238647461,0.9908676147460938,1.0924339294433594,1.0990619659423828,1.0943114757537842
36,2843,1955,1,3.1111240386962886,2.7186870574951167,2.97403335571289,2.932071685791016,2.936363220214844
27,3234,3713,1,4.2569637298583975,3.818035125732422,4.0802955627441415,4.06954288482666,4.0775537490844735
12,3794,2631,0,2.5703907012939453,2.262592315673828,2.418041229248047,2.4120092391967773,2.410888671875
6,2805,1749,0,1.8510818481445312,1.2023448944091797,1.5574693679809568,1.557302474975586,1.5649497509002686
14,297,3598,0,0.3993511199951172,0.2677440643310547,0.3110170364379883,0.3142833709716797,0.3094673156738281
9,3216,2951,1,2.495050430297852,2.1088123321533203,2.1399259567260738,2.2084474563598637,2.1850764751434326
34,2294,331,1,0.5426406860351562,0.43845176696777344,0.4923343658447266,0.4907846450805664,0.4908442497253418
23,1004,1081,0,0.5028247833251953,0.33855438232421875,0.4270076751708984,0.4219293594360352,0.4222393035888672
34,2906,1869,0,2.6807785034179688,2.3818016052246094,2.5534629821777344,2.5482654571533203,2.552509307861328
39,2932,1013,0,1.5645027160644531,1.507282257080078,1.522541046142578,1.5321731567382812,1.5312433242797852
3,1079,1051,1,0.3576278686523437,0.1957416534423828,0.2429485321044922,0.25420188903808594,0.2485811710357666
39,3473,3474,0,4.492998123168945,4.092693328857422,4.3762922286987305,4.347538948059082,4.361212253570557
7,842,3837,1,1.2466907501220703,1.049518585205078,1.143336296081543,1.1418581008911133,1.140296459197998
8,318,472,0,0.2779960632324219,0.12302398681640625,0.2061128616333008,0.19974708557128906,0.1995563507080078
63,2418,321,1,0.9715557098388672,0.6699562072753906,0.8416175842285156,0.8318901062011719,0.8346736431121826
17,125,2518,1,0.2660751342773437,0.16260147094726562,0.21517276763916016,0.21066665649414065,0.2097487449645996
41,2245,3761,1,3.2246112823486333,2.9897689819335938,3.089308738708496,3.1061410903930664,3.1058788299560547
35,1372,230,1,0.3824234008789063,0.23746490478515625,0.32520294189453125,0.3142833709716797,0.3153681755065918
6,1590,1995,0,1.3451576232910156,0.9429454803466796,1.226663589477539,1.1872053146362305,1.1979937553405762
24,2474,3640,0,2.4209022521972656,2.184391021728516,2.238154411315918,2.2571086883544917,2.2457242012023926
15,3352,664,0,0.6687641143798828,0.4484653472900391,0.5270242691040039,0.5375862121582031,0.5323290824890137
42,3101,2789,1,5.420207977294922,5.080223083496094,5.161881446838379,5.203771591186523,5.192160606384277
37,735,3565,0,1.2969970703125,1.1141300201416016,1.1718273162841797,1.1880874633789062,1.18371844291687
63,1839,1109,1,1.4548301696777344,1.2309551239013672,1.373291015625,1.3632774353027344,1.3683736324310305
9,1383,2460,0,1.0251998901367188,0.7908344268798828,0.8660554885864258,0.8823633193969727,0.8759498596191406
37,508,3743,0,1.010417938232422,0.8366107940673828,0.9292364120483398,0.927114486694336,0.9280145168304444
40,129,2889,1,0.4057884216308594,0.27251243591308594,0.34558773040771484,0.3377199172973633,0.3373622894287109
17,2774,1779,1,1.4095306396484375,1.3270378112792969,1.3616085052490234,1.3606071472167969,1.3586878776550293
