batchsize,matsize,channels_in,poolsize,padding,strides,time_max,time_min,time_median,time_mean,time_trim_mean
15,98,57,5,0,3,4.409074783325195,4.0972232818603525,4.329085350036621,4.303860664367677,4.316538572311401
26,54,25,2,1,2,1.7538070678710938,1.522064208984375,1.6883611679077148,1.6691207885742188,1.6769170761108398
60,487,3,7,1,1,1972.7997779846191,1922.7705001831052,1923.425555229187,1929.0245056152344,1924.3343472480774
39,334,12,6,0,1,606.3723564147948,583.735466003418,584.4987630844116,586.9077444076537,584.8712027072906
54,249,1,3,1,3,26.424169540405273,26.09539031982422,26.31068229675293,26.28195285797119,26.287496089935303
19,380,17,3,1,2,60.04118919372559,54.71205711364746,58.54511260986328,57.45127201080322,57.4699342250824
17,267,19,2,1,1,55.6638240814209,49.99661445617676,54.01206016540527,53.0087947845459,53.05343866348266
61,341,27,7,1,4,156.38279914855957,154.78372573852542,155.61091899871823,155.5661201477051,155.56183457374573
60,290,11,2,1,2,58.159828186035156,57.49964714050293,57.66582489013672,57.71303176879883,57.68385529518128
52,379,22,2,0,3,69.93198394775389,67.43884086608887,68.89569759368896,68.88844966888428,68.939208984375
2,206,2,4,1,4,1.9516944885253904,1.852989196777344,1.8663406372070312,1.87373161315918,1.8665790557861328
43,414,1,4,0,3,74.49722290039062,72.44610786437987,73.58086109161377,73.58374595642091,73.61176609992981
7,407,9,4,1,4,13.060569763183596,12.724161148071287,12.744903564453125,12.775397300720215,12.746155261993408
3,266,22,4,1,3,4.224538803100587,4.124164581298828,4.1348934173583975,4.145932197570802,4.138827323913573
32,465,8,7,0,3,126.75356864929199,122.48563766479492,123.44515323638916,123.68197441101074,123.44756722450256
44,267,10,5,0,2,99.46846961975098,94.8162078857422,98.62971305847168,98.21033477783205,98.47733378410341
41,4,629,1,0,4,0.25773048400878906,0.1499652862548828,0.18262863159179688,0.19545555114746094,0.1933574676513672
52,293,11,1,1,3,27.050018310546875,26.489734649658203,26.85320377349853,26.77476406097412,26.775985956192017
58,239,26,7,0,3,110.6116771697998,103.53493690490723,103.71267795562744,104.3743133544922,103.69956493377686
5,377,18,3,0,3,10.581731796264648,10.059118270874023,10.08296012878418,10.181307792663574,10.146528482437132
37,426,22,4,0,1,613.4214401245117,610.0857257843018,611.5443706512451,611.6524934768678,611.6272211074829
25,243,4,3,1,4,13.515472412109375,11.270284652709961,12.56406307220459,12.485313415527346,12.508422136306764
19,123,49,2,0,2,8.480072021484375,7.8797340393066415,8.116960525512695,8.146500587463379,8.138149976730348
15,338,10,4,0,3,22.94564247131348,22.507667541503906,22.67861366271973,22.73964881896973,22.742897272109985
21,125,35,6,1,3,10.753393173217773,9.540796279907227,10.332942008972168,10.272073745727539,10.3033185005188
61,312,1,3,1,4,38.98239135742188,38.29026222229004,38.5587215423584,38.561439514160156,38.54271769523621
45,158,45,3,1,1,105.76295852661131,102.97131538391113,104.27772998809814,104.29904460906981,104.28202152252196
55,11,888,6,0,2,2.1462440490722656,2.0205974578857417,2.0740032196044917,2.0868062973022456,2.0876526832580566
33,506,1,6,0,3,124.22466278076172,122.18356132507324,122.56336212158205,122.62294292449951,122.47765064239502
33,272,24,4,1,2,57.98768997192383,57.72781372070313,57.86263942718506,57.85095691680908,57.849258184432976
8,336,11,2,1,1,27.56190299987793,26.64375305175781,26.72362327575684,26.81875228881836,26.74773335456848
16,157,36,2,0,2,7.961273193359375,7.347822189331055,7.8389644622802725,7.699370384216309,7.710576057434082
22,259,32,1,0,4,10.63823699951172,10.14566421508789,10.277152061462402,10.318398475646973,10.300010442733763
55,113,20,1,0,3,4.886627197265625,4.631280899047852,4.846334457397461,4.800629615783691,4.81104850769043
48,388,16,1,0,1,177.4141788482666,176.86772346496582,177.09505558013916,177.08652019500732,177.0729124546051
9,45,215,4,0,2,2.5696754455566406,2.477884292602539,2.518296241760254,2.521824836730957,2.521336078643799
50,198,36,7,1,2,147.55105972290042,141.1833763122559,142.43793487548828,142.8814649581909,142.51002669334412
